problem_id,title,difficulty_index,tier_name,tier_group,description_len,sample_count,url
1000,A+B,,,,42,1,https://www.acmicpc.net/problem/1000
1001,A-B,,,,42,1,https://www.acmicpc.net/problem/1001
1002,터렛,,,,314,1,https://www.acmicpc.net/problem/1002
1003,피보나치 함수,,,,674,2,https://www.acmicpc.net/problem/1003
1004,어린 왕자,,,,504,2,https://www.acmicpc.net/problem/1004
1005,ACM Craft,,,,878,2,https://www.acmicpc.net/problem/1005
1006,습격자 초라기,,,,566,1,https://www.acmicpc.net/problem/1006
1007,벡터 매칭,,,,236,2,https://www.acmicpc.net/problem/1007
1008,A/B,,,,42,2,https://www.acmicpc.net/problem/1008
1009,분산처리,,,,324,1,https://www.acmicpc.net/problem/1009
1010,다리 놓기,,,,425,1,https://www.acmicpc.net/problem/1010
1011,Fly me to the Alpha Centauri,,,,812,1,https://www.acmicpc.net/problem/1011
1012,유기농 배추,,,,655,2,https://www.acmicpc.net/problem/1012
1013,Contact,,,,1220,1,https://www.acmicpc.net/problem/1013
1014,컨닝,,,,709,1,https://www.acmicpc.net/problem/1014
1015,수열 정렬,,,,272,3,https://www.acmicpc.net/problem/1015
1016,제곱 ㄴㄴ 수,,,,130,3,https://www.acmicpc.net/problem/1016
1017,소수 쌍,,,,365,5,https://www.acmicpc.net/problem/1017
1018,체스판 다시 칠하기,,,,462,7,https://www.acmicpc.net/problem/1018
1019,책 페이지,,,,98,5,https://www.acmicpc.net/problem/1019
1020,디지털 카운터,,,,601,6,https://www.acmicpc.net/problem/1020
1021,회전하는 큐,,,,456,4,https://www.acmicpc.net/problem/1021
1022,소용돌이 예쁘게 출력하기,,,,697,4,https://www.acmicpc.net/problem/1022
1023,괄호 문자열,,,,355,4,https://www.acmicpc.net/problem/1023
1024,수열의 합,,,,73,5,https://www.acmicpc.net/problem/1024
1025,제곱수 찾기,,,,245,6,https://www.acmicpc.net/problem/1025
1026,보물,,,,238,3,https://www.acmicpc.net/problem/1026
1027,고층 건물,,,,287,5,https://www.acmicpc.net/problem/1027
1028,다이아몬드 광산,,,,210,4,https://www.acmicpc.net/problem/1028
1029,그림 교환,,,,341,5,https://www.acmicpc.net/problem/1029
1030,프렉탈 평면,,,,365,4,https://www.acmicpc.net/problem/1030
1031,스타 대결,,,,740,6,https://www.acmicpc.net/problem/1031
1032,명령 프롬프트,,,,492,5,https://www.acmicpc.net/problem/1032
1033,칵테일,,,,380,4,https://www.acmicpc.net/problem/1033
1034,램프,,,,361,6,https://www.acmicpc.net/problem/1034
1035,조각 움직이기,,,,243,3,https://www.acmicpc.net/problem/1035
1036,36진수,,,,235,5,https://www.acmicpc.net/problem/1036
1037,약수,,,,95,4,https://www.acmicpc.net/problem/1037
1038,감소하는 수,,,,196,3,https://www.acmicpc.net/problem/1038
1039,교환,,,,203,6,https://www.acmicpc.net/problem/1039
1040,정수,,,,78,4,https://www.acmicpc.net/problem/1040
1041,주사위,,,,352,4,https://www.acmicpc.net/problem/1041
1042,움,,,,722,3,https://www.acmicpc.net/problem/1042
1043,거짓말,,,,539,7,https://www.acmicpc.net/problem/1043
1044,팀 선발,,,,235,5,https://www.acmicpc.net/problem/1044
1045,도로,,,,472,5,https://www.acmicpc.net/problem/1045
1046,그림자,,,,314,5,https://www.acmicpc.net/problem/1046
1047,울타리,,,,484,5,https://www.acmicpc.net/problem/1047
1048,유니콘,,,,447,7,https://www.acmicpc.net/problem/1048
1049,기타줄,,,,275,6,https://www.acmicpc.net/problem/1049
1050,물약,,,,524,8,https://www.acmicpc.net/problem/1050
1051,숫자 정사각형,,,,121,5,https://www.acmicpc.net/problem/1051
1052,물병,,,,630,3,https://www.acmicpc.net/problem/1052
1053,팰린드롬 공장,,,,302,6,https://www.acmicpc.net/problem/1053
1054,팰린드롬 문장,,,,353,4,https://www.acmicpc.net/problem/1054
1055,끝이없음,,,,499,4,https://www.acmicpc.net/problem/1055
1056,수,,,,181,4,https://www.acmicpc.net/problem/1056
1057,토너먼트,,,,601,5,https://www.acmicpc.net/problem/1057
1058,친구,,,,258,5,https://www.acmicpc.net/problem/1058
1059,좋은 구간,,,,164,4,https://www.acmicpc.net/problem/1059
1060,좋은 수,,,,327,5,https://www.acmicpc.net/problem/1060
1061,삼각형,,,,408,5,https://www.acmicpc.net/problem/1061
1062,가르침,,,,332,3,https://www.acmicpc.net/problem/1062
1063,킹,,,,565,6,https://www.acmicpc.net/problem/1063
1064,평행사변형,,,,229,5,https://www.acmicpc.net/problem/1064
1065,한수,,,,138,5,https://www.acmicpc.net/problem/1065
1066,에이한수,,,,218,4,https://www.acmicpc.net/problem/1066
1067,이동,,,,301,3,https://www.acmicpc.net/problem/1067
1068,트리,,,,273,4,https://www.acmicpc.net/problem/1068
1069,집으로,,,,312,6,https://www.acmicpc.net/problem/1069
1070,김지민의 침략,,,,588,4,https://www.acmicpc.net/problem/1070
1071,소트,,,,111,5,https://www.acmicpc.net/problem/1071
1072,게임,,,,471,5,https://www.acmicpc.net/problem/1072
1073,도미노,,,,1316,4,https://www.acmicpc.net/problem/1073
1074,Z,,,,261,6,https://www.acmicpc.net/problem/1074
1075,나누기,,,,223,5,https://www.acmicpc.net/problem/1075
1076,저항,,,,339,3,https://www.acmicpc.net/problem/1076
1077,넓이,,,,139,4,https://www.acmicpc.net/problem/1077
1078,뒤집음,,,,159,7,https://www.acmicpc.net/problem/1078
1079,마피아,,,,881,5,https://www.acmicpc.net/problem/1079
1080,행렬,,,,147,4,https://www.acmicpc.net/problem/1080
1081,합,,,,55,5,https://www.acmicpc.net/problem/1081
1082,방 번호,,,,362,4,https://www.acmicpc.net/problem/1082
1083,소트,,,,132,3,https://www.acmicpc.net/problem/1083
1084,방 번호 2,,,,362,8,https://www.acmicpc.net/problem/1084
1085,직사각형에서 탈출,,,,123,4,https://www.acmicpc.net/problem/1085
1086,박성원,,,,323,4,https://www.acmicpc.net/problem/1086
1087,쥐 잡기,,,,456,6,https://www.acmicpc.net/problem/1087
1088,케이크,,,,174,5,https://www.acmicpc.net/problem/1088
1089,스타트링크 타워,,,,616,4,https://www.acmicpc.net/problem/1089
1090,체커,,,,127,3,https://www.acmicpc.net/problem/1090
1091,카드 섞기,,,,609,4,https://www.acmicpc.net/problem/1091
1092,배,,,,211,4,https://www.acmicpc.net/problem/1092
1093,스티커 수집,,,,293,4,https://www.acmicpc.net/problem/1093
1094,막대기,,,,500,4,https://www.acmicpc.net/problem/1094
1095,마법의 구슬,,,,542,4,https://www.acmicpc.net/problem/1095
1096,종이 접기,,,,243,5,https://www.acmicpc.net/problem/1096
1097,마법의 문자열,,,,365,7,https://www.acmicpc.net/problem/1097
1098,쌍둥이 마을,,,,438,5,https://www.acmicpc.net/problem/1098
1099,알 수 없는 문장,,,,421,6,https://www.acmicpc.net/problem/1099
1100,하얀 칸,,,,118,4,https://www.acmicpc.net/problem/1100
1101,카드 정리 1,,,,571,5,https://www.acmicpc.net/problem/1101
1102,발전소,,,,319,5,https://www.acmicpc.net/problem/1102
1103,게임,,,,340,6,https://www.acmicpc.net/problem/1103
1104,패턴,,,,272,5,https://www.acmicpc.net/problem/1104
1105,팔,,,,91,4,https://www.acmicpc.net/problem/1105
1106,호텔,,,,439,4,https://www.acmicpc.net/problem/1106
1107,리모컨,,,,328,7,https://www.acmicpc.net/problem/1107
